name,regex
نستود,نستود
نستوه پسر گودرز,نستوه پسر گودرز|نستوه
نستوه پسر مهران ستاد,نستوه پسر مهران ستاد
نستیهن,نستیهن|نسهیهن
نصر سامانی,نصر سامانی
نصر‌قتیب,نصر‌قتیب
نعمان,نعمان
نوذر,نوذر|نوذر
نوش پسر اسفندیار,نوش پسر اسفندیار|طوش
نوش‌آذر,نوش‌آذر|نوش‌آذر
نوش‌زاد (پسر انوشیروان),نوش‌زاد 
نوشزاد,نوشزاد
نوشه(دختر نرسی),نوشه
نَهل,نَهل
نیاطوس,نیاطوس
وستا,وستا
ویسه,ویسه|ویسه
هجیر,هجیر|هجیر
اورمزد پسر اردشیر,اورمزد پسر اردشیر
هرمز دوم,هرمز دوم
اورمزد پسر نرسی,اورمزد پسر نرسی
هرمزد پسر یزدگرد,هرمزد پسر یزدگرد
هرمزد پسر انوشیروان,هرمزد پسر انوشیروان
هرمز شهریار,هرمز شهریار
هرمز کدخدای ده,هرمز کدخدای ده
هرمزد خراد,هرمزد خراد
هرمزد خراد (موبد),هرمزد خراد 
هزاران,هزاران
نام‌خواست,نام‌خواست|نام‌خواست
هشیار,هشیار
هفتواد,هفتواد
همای دختر گشتاسپ,همای دختر گشتاسپ|همای
همای چهرآزاد,همای چهرآزاد
همای (موبد),همای 
هَمْدان‌گُشسپ,هَمْدان‌گُشسپ
هوشنگ,هوشنگ|هوشنگ|پَرَداتَپشداد
هومان,هومان|هومان
هیشوی,هیشوی
یاوه,یاوه
یانُس,یانُس
یزدگرد بزه‌گر,یزدگرد بزه‌گر
یزدگرد پسر بهرام گور,یزدگرد پسر بهرام گور
یزدگرد دبیر (دوره ‌انوشیروان),یزدگرد دبیر 
یلان سینه,یلان سینه
